COMID,Stream DOC
22878943,0.781818182
22878945,0.781818182
22878947,0.781818182
22878949,0.781818182
22878951,0.943526274
22878953,1.149656987
22878955,1.336293475
22878957,1.502827818
22878959,1.747153882
22878961,1.931886856
22878963,2.011224463
22878965,2.204188311
22878967,2.060458151
22878969,2.035387892
22878971,1.954373752
22878973,2.174439039
22878975,2.07001425
22878977,2.065597746
22878979,2.103735246
22878981,2.043953911
22878983,2.536241284
22878985,2.047915177
22878987,2.55940592
22878989,2.078382393
22878991,2.317354667
22878993,1.810763537
22878995,2.263443245
22878997,1.805225903
22878999,1.630462761
22879001,1.769195138
22879003,1.727651616
22879005,1.550058919
22879007,0.781818182
22879009,0.859215495
22879011,1.525991004
22879013,1.693772311
22879015,1.653406812
22879017,1.68634887
22879019,2.144673877
22879021,1.815149002
22879023,1.031236973
22879025,0.989322751
22879027,0.819432241
22879029,0.856796441
22879031,0.781818182
22879033,0.781818182
22879035,1.147726683
22879037,1.154903705
22879039,1.124917447
22879041,1.216303489
22879043,1.16062663
22879045,1.207727957
22879047,1.296650411
22879049,1.309196216
22879051,1.146538552
22879053,1.918099955
22879055,1.904523642
22879057,1.120764318
22879059,1.141754712
22879061,1.167032034
22879063,1.288734675
22879065,1.123664158
22879067,1.09838042
22879069,1.71314668
22879071,1.212201155
22879073,1.126322831
22879075,1.426698867
22879077,1.686391499
22879079,1.828214237
22879081,1.769169396
22879083,1.740368693
22879085,1.745674233
22879087,1.792400041
22879089,1.757090916
22879091,1.786109178
22879093,1.621811892
22879095,1.885259595
22879097,1.920449997
22879099,1.135854285
22879101,1.284039532
22879103,1.272530627
22879105,1.404423037
22879107,1.3758135
22879109,1.273871617
22879111,1.415217924
22879113,1.377428368
22879115,1.317036022
22879117,1.38902657
22879119,1.456075864
22879121,1.40076765
22879123,1.370811567
22879125,1.855720456
22879127,1.43010706
22879129,1.48609948
22879131,1.303482724
22879133,1.309089249
22879135,1.349783964
22879137,1.406225439
22879139,1.42215041
22879141,1.428411119
22879143,1.877677403
22879145,1.167965697
22879147,1.611646541
22879149,1.154733742
22879151,1.1157068
22879153,0.887376394
22879155,0.938722448
22879157,0.781818182
22879159,0.781818182
22879161,0.781818182
22879163,1.008340755
22879165,1.410880511
22879167,1.419709795
22879169,1.426502848
22879171,1.873578773
22879173,1.884703626
22879175,1.885874663
22879177,1.631238136
22879179,1.546001463
22879181,1.681297993
22879183,1.543755649
22879185,1.58564916
22879187,1.699776936
22879189,1.59713465
22879191,1.481531795
22879193,1.408704575
22879195,1.232940988
22879197,1.658838959
22879199,1.757670023
22879201,1.798271035
22879203,1.843926556
22879205,1.848045322
22879207,1.84810225
22879209,2.375881299
22879211,1.934458902
22879213,2.351582278
22879215,2.01138568
22879217,2.021957074
22879219,2.441295851
22879221,2.429878239
22879223,1.32548887
22879225,1.200847422
22879227,1.688990566
22879229,1.492836586
22879231,1.713846837
22879233,2.311079216
22879235,2.751991683
22879237,2.751698923
22879239,2.364917297
22879241,1.68119136
22879243,1.616891904
22879245,1.876506366
22879247,1.410524925
22879249,1.356378089
22879251,1.511346866
22879253,1.538800052
22879255,1.465006401
22879257,1.57023953
22879259,3.009731131
22879261,3.01031665
22879263,3.01031665
22879265,3.010609409
22879267,3.010609409
22879269,1.812847025
22879271,1.83852346
22879273,1.895239851
22879275,2.729703999
22879277,2.588200618
22879279,2.298209213
22879281,1.535107599
22879283,1.588398028
22879285,1.651332801
22879287,1.908810546
22879289,1.741544332
22879291,1.226305528
22879293,1.130852879
22879295,0.979061823
22879297,0.781818182
22879299,2.349604708
22879301,2.37840295
22879303,2.517061107
22879305,2.440617455
22879307,2.4689436
22879309,0.929855244
22879311,0.841762301
22879313,0.802934069
22879315,0.788031803
22879317,0.827727057
22879319,1.809753539
22879321,2.518218098
22879323,2.631093724
22879325,1.651269952
22879327,2.907591343
22879329,2.858905526
22879331,2.76933212
22879333,2.669947156
22879335,1.276445604
22879337,1.318908296
22879339,1.409531189
22879341,1.806536895
22879343,1.917785426
22879345,1.309794326
22879347,0.781818182
22879349,0.781818182
22879351,0.781818182
22879353,1.190059524
22879355,1.525043528
22879357,2.641073726
22879359,2.676476953
22879361,3.153272142
22879363,2.824554248
22879365,3.176679078
22879367,2.53633632
22879369,2.018787382
22879371,2.016152548
22879373,1.628215636
22879375,1.489244936
22879377,1.561274311
22879379,1.479224563
22879381,1.782690897
22879383,1.271196078
22879385,1.363929097
22879387,1.383436651
22879389,1.281899568
22879391,1.29331718
22879393,1.289992317
22879395,1.350045169
22879397,1.478718563
22879399,1.37838613
22879401,1.345871527
22879403,1.318232232
22879405,1.361287708
22879407,1.524169105
22879409,1.659395511
22879411,1.728515601
22879413,2.100467224
22879415,1.781039072
22879417,1.634829244
22879419,1.219046703
22879421,1.140708317
22879423,1.301733895
22879425,0.979160489
22879427,1.964102302
22879429,1.977265676
22879431,2.119371911
22879433,2.105205213
22879435,2.203831846
22879437,1.214092237
22879439,1.247286172
22879441,1.4989669
22879443,1.165807276
22879445,1.196278087
22879447,1.170917337
22879449,0.808822253
22879451,0.781818182
22879453,1.469826492
22879455,1.378040147
22879457,2.435075515
22879459,0.781818182
22879461,0.781818182
22879463,0.781818182
22879465,3.19201734
22879467,2.893072704
22879469,3.132140282
22879471,2.70211544
22879473,1.464730178
22879475,2.711559601
22879477,2.574748281
22879479,1.572929806
22879481,2.046306755
22879483,1.477140406
22879485,1.569441685
22879487,1.757925253
22879489,2.405808259
22879491,2.418275991
22879493,2.463293836
22879497,2.425982596
22879499,2.435232387
22879501,1.254644422
22879503,3.356742316
22879505,2.846362733
22879507,2.868067191
22879509,1.803443605
22879511,0.859468525
22879513,0.781818182
22879515,1.443636506
22879517,1.473698882
22879519,1.649749177
22879521,1.944719281
22879523,1.49523937
22879525,1.814394723
22879527,2.277036783
22879529,2.365519389
22879531,2.379245241
22879533,2.450248529
22879535,1.265272738
22879537,1.027745834
22879539,0.781818182
22879541,1.255241403
22879543,1.554471144
22879545,1.178352848
22879547,1.105202485
22879549,1.940035132
22879551,1.658976
22879553,1.329068189
